year,region_id,region_name,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
2022,7,"East of England",E12000006,39580.27,24594.04,507594821.5,298670793.5,27473784812,164651908.4,6946125923,2188332737,37071566173
2021,7,"East of England",E12000006,40294.29,25037.71,523057048.7,260054296.4,24596829251,155237628.8,6551237229,2164504094,33727862499
2020,7,"East of England",E12000006,40217.565,24990.04,708711127,223662739.5,22044789670,130165348.7,5873055666,2107601649,30379275073
2019,7,"East of England",E12000006,40047.788,24884.54,528012100.8,285417805.4,29013685441,206838129.3,6289426869,2169443904,37964812148
2018,7,"East of England",E12000006,40003.1251,24856.79,493473784.7,292608041.3,28935258811,207888661.1,6226371389,2184104413,37846231315
2017,7,"East of England",E12000006,40051.59,24886.9,525340597.8,312800492.6,29051464321,212970826.8,6162135344,2144225371,37883596355
2016,7,"East of England",E12000006,40013.08,24862.98,506362014.1,284202821.8,28162618257,222072082.6,5830641159,2095239145,36594773466
2015,7,"East of England",E12000006,39881.6,24781.28,492834660.5,292182934,27775091538,230770844.1,5596749805,2051309564,35946104685
2014,7,"East of England",E12000006,39807.25,24735.08,530079181,290427622.4,27322555308,243827843.6,5333179263,1927548101,35117538139
2013,7,"East of England",E12000006,39765.43905,24709.1,476306964,281362359.3,26653264768,242264248.4,4992188040,1891081193,34060160609
2012,7,"East of England",E12000006,39709.48629,24674.33,492795012.1,273898707.3,26497793511,246851538.2,4946548618,1863516565,33828608940
2011,7,"East of England",E12000006,39632,24626.18,461541130.4,312506662.7,26329235524,245378331.5,4861440693,1931349470,33679910681
2010,7,"East of England",E12000006,39609.2,24612.02,449314478.7,303076204.4,26074323424,272020787.5,4805084994,1986467492,33440972902
2009,7,"East of England",E12000006,39605.2,24609.53,444424663.9,340482096.6,26837149381,275642180.5,4801385488,1963039339,34217698485
2008,7,"East of England",E12000006,39653.06,24639.27,426005326,337103724.1,26835143688,279941073.8,4917952450,2103600228,34473741163
2007,7,"East of England",E12000006,39943.36,24819.65,383516541.7,365733709.9,26955367445,308562661.1,4884017319,2177827796,34691508931
2006,7,"East of England",E12000006,39799.53,24730.28,419115664.6,345916019.4,26769395761,296228562.5,4577741643,2164844671,34154126657
2005,7,"East of England",E12000006,39136.23,24318.13,402837255.6,365430052.5,26485897710,283895576.9,4420048291,2165557911,33720829542
2004,7,"East of England",E12000006,39188.75,24350.76,384888911.7,347050060.7,26663507312,291363036.6,4276181610,2217403875,33795505894
2003,7,"East of England",E12000006,39423.3225,24496.52,414380320,382229951.3,26457646070,306653943.9,4052794763,2149971080,33349295808
2002,7,"East of England",E12000006,39351.1,24451.64,409899131.8,356484660.5,26451266068,298889508.5,3925054338,2145708711,33177403286
2001,7,"East of England",E12000006,39287.5,24412.12,390685549.4,342517749.1,25900270691,295520627.3,3930074743,2062412517,32530796327
2000,7,"East of England",E12000006,39222.4,24371.67,383742782.5,330347511.4,25542871171,295131496.6,3791867811,2066294982,32026512972
1999,7,"East of England",E12000006,39155.7,24330.22,373246932.1,325231323.2,25732633490,295614411.9,3769836751,2033848298,32157164274
1998,7,"East of England",E12000006,39074.445,24279.73,358996791.8,295195249.7,25241946073,285222252.3,3747146472,1965834490,31535344538
1997,7,"East of England",E12000006,39004.89,24236.52,370934690.9,280610257.3,25046548666,281992274.1,3545289229,1918001812,31072442238
1996,7,"East of England",E12000006,38918.554,24182.87,370672920.2,266589740.5,24592180966,272921294.5,3346413497,1886165430,30364270928
1995,7,"East of England",E12000006,38856.836,24144.52,378671802.6,267491659.4,23980919433,268484611.5,3196253102,1847877328,29561026135
1994,7,"East of England",E12000006,38777.587,24095.28,366149134.5,268677005.4,23537303947,254374952,3109362060,1790333429,28960051393
1993,7,"East of England",E12000006,38708.425,24052.3,365567983.3,270054627.8,22996110321,254817682,2976386705,1741075572,28238444908
